SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
9403026;"COOPERATIVA DE CRÉDITO CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE";"PRACA RAIMUNDO SIMAS  55";-;"CENTRO";"65940000";"GRAJAU";"MA";"Brasil";-;-;-;
33924028;"COOPERATIVA DE CRÉDITO CLÁSSICA DOS EMPREGADOS DA VALE S/A E ENTIDADES VINCULADAS LTDA. - SICOOB COOPVALE";"RUA SANTA LUZIA, 651";"35- ANDAR";"CENTRO";"20030041";"RIO DE JANEIRO";"RJ";"Brasil";-;-;"https://www.coopvale.com";
21110927;"COOPERATIVA DE CRÉDITO CLÁSSICA DOS FUNCIONÁRIOS E PRESTADORES DE SERVIÇOS DAS EMPRESAS LIGADAS AO GRUPO EUCATUR LTDA. - SICOOB EUCRED";"AVENIDA MARECHAL RONDON  2774";-;"DOIS DE ABRIL";"76900864";"JI-PARANA";"RO";"Brasil";-;-;"https://www.sicoob.com.br/web/sicoobeucred";
54401286;"COOPERATIVA DE CRÉDITO COCRE";"AV  COMENDADOR LUCIANO GUIDOTTI";"N  1937";"JARDIM CAXAMBU";"13425000";"PIRACICABA";"SP";"Brasil";-;-;"https://www.cocre.com.br";
44401800;"COOPERATIVA DE CRÉDITO COGEM";"RUA JOSÉ VERSOLATO 111";"SALAS 2607 E 2608 - TORRE B - COND. DOMO BUSINESS";"BAETA NEVES";"09750730";"SAO BERNARDO DO CAMPO";"SP";"Brasil";-;-;"https://www.cogem.com.br";
32430233;"COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO";"AVENIDA PREFEITO SAMUEL BATISTA CRUZ, 2905";-;"N.S. DA CONCEIÇÃO";"29900527";"LINHARES";"ES";"Brasil";-;-;"https://www.sicoobes.com.br";
53935029;"COOPERATIVA DE CRÉDITO COOCRELIVRE";"RUA 1 (UM   N  518";"PISO SUPERIOR";"CENTRO";"14620000";"ORLANDIA";"SP";"Brasil";-;-;"https://www.coocrelivre.com.br";
65229254;"COOPERATIVA DE CRÉDITO COOPACREDI LTDA. - SICOOB COOPACREDI";"AV  RUI BARBOSA  163";-;"CENTRO";"38740036";"PATROCINIO";"MG";"Brasil";-;-;"https://www.sicoobcoopacredi.com.br";
53623781;"COOPERATIVA DE CRÉDITO COOPCRED";"RUA MAURO FRAZILLI N° 30";-;"CENTRO";"16880000";"VALPARAISO";"SP";"Brasil";-;-;"https://www.coopcred.com.br";
87779625;"COOPERATIVA DE CRÉDITO COOPERAÇÃO - SICREDI COOPERAÇÃO";"AV  ALTO JACUI  528";"SALA 101";"CENTRO";"99470000";"NAO-ME-TOQUE";"RS";"Brasil";-;-;-;
31804966;"COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS";"RUA HERMANN MIERTSCHINK, 90";-;"CENTRO";"29645000";"SANTA MARIA DE JETIBA";"ES";"Brasil";-;-;"https://www.sicoobes.com.br";
2814832;"COOPERATIVA DE CRÉDITO COOPHARMA";"AVENIDA DR. CHUCRI ZAIDAN, 296";"13º ANDAR SALA 108";"VILA CORDEIRO";"04583110";"SAO PAULO";"SP";"Brasil";-;-;-;
18966739;"COOPERATIVA DE CRÉDITO COPERSUL LTDA - SICOOB COPERSUL";"RUA AMERICO MIARI";"36";"CENTRO";"37190000";"TRES PONTAS";"MG";"Brasil";-;-;-;
19449602;"COOPERATIVA DE CRÉDITO CREDCOOPER LTDA - SICOOB CREDCOOPER";"PRACA GETULIO VARGAS";"82";"CENTRO";"35300034";"CARATINGA";"MG";"Brasil";-;-;"https://www.sicoobcredcooper.com.br";
25353939;"COOPERATIVA DE CRÉDITO CREDIALP LTDA - SICOOB CREDIALP";"AVENIDA GOVERNADOR VALADARES";"626";"CENTRO";"37940000";"ALPINOPOLIS";"MG";"Brasil";-;-;"https://www.credialp.com.br";
66398496;"COOPERATIVA DE CRÉDITO CREDIARA LTDA - SICOOB CREDIARA";"RUA DOM BOSCO  133";-;"CENTRO";"38183228";"ARAXA";"MG";"Brasil";-;-;-;
66259110;"COOPERATIVA DE CRÉDITO CREDIBAM LTDA. - SICOOB CREDIBAM";"AVENIDA ARMANDO FRANCO  155";-;"CENTRO";"38900000";"BAMBUI";"MG";"Brasil";-;-;"https://www.sicoobcredibam.com.br";
71237184;"COOPERATIVA DE CRÉDITO CREDIBELO LTDA. - SICOOB CREDIBELO";"RUA ARTUR BERNARDES 205";-;"CENTRO";"37270000";"CAMPO BELO";"MG";"Brasil";-;-;-;
21670187;"COOPERATIVA DE CRÉDITO CREDIBOM LTDA. - SICOOB CREDIBOM";"AV  DAS PALMEIRAS";"170";"CENTRO";"35600000";"BOM DESPACHO";"MG";"Brasil";-;-;-;
25395435;"COOPERATIVA DE CRÉDITO CREDICAF LTDA - SICOOB CREDICAF";"RUA DR RUBENS BOECHAT DE OLIVEIRA";"310";"CENTRO";"36980000";"LAJINHA";"MG";"Brasil";-;-;-;
1609345;"COOPERATIVA DE CRÉDITO CREDICAMPINA LTDA. - SICOOB CREDICAMPINA";"RUA 26  N  926";-;"CENTRO";"38270000";"CAMPINA VERDE";"MG";"Brasil";-;-;"https://www.sicoobcredicampina.com.br";
21661202;"COOPERATIVA DE CRÉDITO CREDICAMPO LTDA.- SICOOB CREDICAMPO";"AVENIDA MAJOR JUSCELINO";"925";"CENTRO";"35490000";"ENTRE RIOS DE MINAS";"MG";"Brasil";-;-;"https://www.sicoobcredicampo.com.br";
804046;"COOPERATIVA DE CRÉDITO CREDICAPI LTDA - SICOOB CREDICAPI";"PRACA PADRE JOAO MACHADO";"400";"CENTRO";"37930000";"CAPITOLIO";"MG";"Brasil";-;-;-;
23949522;"COOPERATIVA DE CRÉDITO CREDICARPA LTDA. - SICOOB CREDICARPA";"AV  ARISTIDES DE MELO";"135";"CENTRO";"38840000";"CARMO DO PARANAIBA";"MG";"Brasil";-;-;-;
67096909;"COOPERATIVA DE CRÉDITO CREDICOCAPEC";"AV  WILSON SABIO DE MELLO  2770";-;"DISTRITO INDUSTRIAL";"14406052";"FRANCA";"SP";"Brasil";-;-;"https://www.credicocapec.com.br";
38588174;"COOPERATIVA DE CRÉDITO CREDICOPE LTDA. - SICOOB CREDICOPE";"AV  JOAO SIQUEIRA";"109";"CENTRO";"35240000";"CONSELHEIRO PENA";"MG";"Brasil";-;-;-;
68512748;"COOPERATIVA DE CRÉDITO CREDIESMERALDAS LTDA. - SICOOB CREDIESMERALDAS";"RUA ANA FELIPA  28";-;"CENTRO";"32800094";"ESMERALDAS";"MG";"Brasil";-;-;-;
7469260;"COOPERATIVA DE CRÉDITO CREDIFIEMG LTDA. - SICOOB CREDIFIEMG";"AVENIDA DO CONTORNO  4520";"4  ANDAR";"FUNCIONARIOS";"30110916";"BELO HORIZONTE";"MG";"Brasil";-;-;-;
41931445;"COOPERATIVA DE CRÉDITO CREDIFOR LTDA - SICOOB CREDIFOR";"AV  RIO BRANCO";"220";"CENTRO";"35570078";"FORMIGA";"MG";"Brasil";-;-;"https://www.sicoobcredifor.com.br";
67960229;"COOPERATIVA DE CRÉDITO CREDIGUAÇU - SICOOB CREDIGUAÇU";"RUA CONSELHEIRO ANTONIO PRADO  544";-;"CENTRO";"13690000";"DESCALVADO";"SP";"Brasil";-;-;"https://www.crediguacu.com.br";
71243034;"COOPERATIVA DE CRÉDITO CREDIJEQUITINHONHA LTDA. - SICOOB CREDIJEQUITINHONHA";"RUA CAPITAO DOMINGOS PIMENTA";"139";"CENTRO";"39680000";"CAPELINHA";"MG";"Brasil";-;-;"https://www.sicoob3046.com.br";
41697103;"COOPERATIVA DE CRÉDITO CREDILIVRE LTDA. - SICOOB CREDILIVRE";"RUA DOUTOR JOSE FERNANDES RODRIGUES  490";-;"CENTRO";"36900088";"MANHUACU";"MG";"Brasil";-;-;"https://www.sicoobcredilivre.com.br";
25536764;"COOPERATIVA DE CRÉDITO CREDILUZ LTDA. - SICOOB CREDILUZ";"AV DR JOSAPHAT MACEDO";"296";"CENTRO";"35595000";"LUZ";"MG";"Brasil";-;-;"https://www.sicoobcrediluz.com.br";
1152097;"COOPERATIVA DE CRÉDITO CREDIMATA LTDA. - SICOOB CREDIMATA";"RUA ELIAS BOUHID";"38";"CENTRO";"36720000";"VOLTA GRANDE";"MG";"Brasil";-;-;"https://www.sicoobcredimata.com.br";
25420696;"COOPERATIVA DE CRÉDITO CREDINACIONAL LTDA. - SICOOB CREDINACIONAL";"RUA GETULIO VARGAS";"293";"CENTRO";"35620000";"ABAETE";"MG";"Brasil";-;-;-;
21866694;"COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR";"RUA PIRES E ALBUQUERQUE";"540";"CENTRO";"39400057";"MONTES CLAROS";"MG";"Brasil";-;-;"https://www.sicoobcredinor.com.br";
64276058;"COOPERATIVA DE CRÉDITO CREDINORTE LTDA. - SICOOB CREDINORTE";"R PARACATU";"200";"CENTRO";"39860000";"NANUQUE";"MG";"Brasil";-;-;-;
6324872;"COOPERATIVA DE CRÉDITO CREDINOSSO LTDA - SICOOB CREDINOSSO";"RUA DOUTOR SANTOS   61";-;"CENTRO";"39400001";"MONTES CLAROS";"MG";"Brasil";-;-;"https://www.sicoobcredinosso.com.br";
24048910;"COOPERATIVA DE CRÉDITO CREDINTER LTDA. - SICOOB CREDINTER";"PRACA CORONEL PAULA RIBEIRO 138";-;"CENTRO";"37810000";"GUARANESIA";"MG";"Brasil";-;-;"https://www.sicoobcredinter.com.br";
66262643;"COOPERATIVA DE CRÉDITO CREDIPEU LTDA.  - SICOOB CREDIPEU";"RUA GILBERTO CORDEIRO VALADARES  581";-;"CENTRO";"35640000";"POMPEU";"MG";"Brasil";-;-;"https://www.sicoobcredipeu.com.br";
42934794;"COOPERATIVA DE CRÉDITO CREDIPIMENTA LTDA. - SICOOB CREDIPIMENTA";"PRACA PADRE ESPINDOLA";"170";"CENTRO";"35585000";"PIMENTA";"MG";"Brasil";-;-;-;
3412878;"COOPERATIVA DE CRÉDITO CREDIRAMA LTDA - SICOOB CREDIRAMA";"AV  BELO HORIZONTE  N  1 601";-;"CENTRO";"38280000";"ITURAMA";"MG";"Brasil";-;-;"https://www.sicoobcredirama.com.br";
22753982;"COOPERATIVA DE CRÉDITO CREDISETE LTDA. - SICOOB CREDISETE";"PRACA BARAO DO RIO BRANCO  170";-;"CENTRO";"35700029";"SETE LAGOAS";"MG";"Brasil";-;-;-;
3645752;"COOPERATIVA DE CRÉDITO CREDISG LTDA. - SICOOB CREDISG";"AVENIDA RUI BARBOSA";"163";"CENTRO";"38800000";"SAO GOTARDO";"MG";"Brasil";-;-;-;
64237530;"COOPERATIVA DE CRÉDITO CREDIUNA LTDA - SICOOB CREDIUNA";"RUA SILVA JARDIM";"822";"UNIVERSITARIO";"35681159";"ITAUNA";"MG";"Brasil";-;-;"https://www.sicoobcrediuna.com.br";
25387655;"COOPERATIVA DE CRÉDITO CREDIVALE LTDA - SICOOB CREDIVALE";"RUA ANTÔNIO ALVES BENJAMIN";"241";"CENTRO";"39800021";"TEOFILO OTONI";"MG";"Brasil";-;-;"https://www.sicoobcredivale.com.br";
25798596;"COOPERATIVA DE CRÉDITO CREDIVAR LTDA. - SICOOB CREDIVAR";"RUA SILVIO COUGO";"680";"VILA PAIVA";"37018020";"VARGINHA";"MG";"Brasil";-;-;"https://www.credivar.com.br";
803287;"COOPERATIVA DE CRÉDITO CREDIVAZ LTDA. - SICOOB CREDIVAZ";"RUA ALVES ROSA 325";-;"CENTRO";"38780000";"VAZANTE";"MG";"Brasil";-;-;-;
25528753;"COOPERATIVA DE CRÉDITO CREDIVERDE LTDA. - SICOOB CREDIVERDE";"RUA GOIAS";"1390";"CENTRO";"35500001";"DIVINOPOLIS";"MG";"Brasil";-;-;"https://www.crediverde.com.br";
22724710;"COOPERATIVA DE CRÉDITO CREDIVERTENTES LTDA. - SICOOB CREDIVERTENTES";"RUA CARLOS PEREIRA";"100";"CENTRO";"36350000";"SAO TIAGO";"MG";"Brasil";-;-;-;
71069587;"COOPERATIVA DE CRÉDITO CREDPLUS LTDA. - SICOOB CREDPLUS";"AVENIDA FRANCISCO CAMPOS";"561";"CENTRO";"35610000";"DORES DO INDAIA";"MG";"Brasil";-;-;"https://www.portalsicoobcredindaia.com.br";
2197569;"COOPERATIVA DE CRÉDITO CREDSAOPAULO - SICOOB CREDSAOPAULO";"RUA PEDRO DE TOLEDO  78";-;"VILA ADYANA";"12243740";"SAO JOSE DOS CAMPOS";"SP";"Brasil";-;-;"https://www.sicoobcredsaopaulo.coop.br/";
5203605;"COOPERATIVA DE CRÉDITO DA AMAZÔNIA - SICOOB AMAZÔNIA";"AV  AYRTON SENNA  1109";"SETOR 01  QUADRA 001  LOTE 006";"SETOR 01";"76880000";"BURITIS";"RO";"Brasil";-;-;-;
9512539;"COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ";"RUA NIVALDO DETOIE  72";-;"RESSACADA";"88307326";"ITAJAI";"SC";"Brasil";-;-;"https://www.credifoz.coop.br";
2405189;"COOPERATIVA DE CRÉDITO DA GRANDE FLORIANÓPOLIS - ÚNILOS";"RUA PROFESSOR AYRTON ROBERTO DE OLIVEIRA,N. 32";"SALA 1201, EDIFÍCIO LAGUNA CORPORATE CENTER";"ITACORUBI";"88034050";"FLORIANOPOLIS";"SC";"Brasil";-;-;"https://www.unilos.coop.br";
22749014;"COOPERATIVA DE CRÉDITO DA REGIÃO CENTRAL DE MINAS LTDA. - SICOOB UNIÃO CENTRAL";"PRACA CEL CAETANO MASCARENHAS, 128";-;"CENTRO";"35774000";"PARAOPEBA";"MG";"Brasil";-;-;"https://www.sicoobuniaocentral.com.br";
10218474;"COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA";"RUA JOÃO STROEBERL, N. 217";-;"RIO NEGRO";"89287440";"SAO BENTO DO SUL";"SC";"Brasil";-;-;"https://www.civia.coop.br";
86585049;"COOPERATIVA DE CRÉDITO DA REGIÃO DO VALE DO RIO GRANDE LTDA. - SICOOB CREDILEITE";"AV  LEOPOLDINO DE OLIVEIRA";"2771";"ABADIA";"38015000";"UBERABA";"MG";"Brasil";-;-;-;
17361536;"COOPERATIVA DE CRÉDITO DA REGIÃO E COLAR METROPOLITANO DO VALE DO AÇO LTDA. - SICOOB COSMIPA";"R EDGARD BOY ROSSI N  70";-;"CENTRO";"35160015";"IPATINGA";"MG";"Brasil";-;-;-;
5392810;"COOPERATIVA DE CRÉDITO DA REGIÃO MERIDIONAL DO BRASIL - SICOOB UNICOOB MERIDIONAL";"RUA JOSE JOAO MURARO 1587";-;"JARDIM PORTO ALEGRE";"85906360";"TOLEDO";"PR";"Brasil";-;-;-;
9590601;"COOPERATIVA DE CRÉDITO DA SERRA CATARINENSE - CREDICOMIN";"RUA HUMBERTO DE CAMPOS, N- 909";-;"SAGRADO CORAÇÃO DE J";"88508190";"LAGES";"SC";"Brasil";-;-;"https://www.credicomin.coop.br";
57987273;"COOPERATIVA DE CRÉDITO DE CAPITAL E EMPRÉSTIMO DOS EMPREGADOS CELETISTAS DE COOPERATIVAS DOS ESTADOS DE SÃO PAULO E MINAS GERAIS - COCREUNI";"RUA AMÉRICO BRASILIENSE, 405";"3º ANDAR - SALAS 313 E 314 - EDIFÍCIO SANTA LYDIA";"CENTRO";"14015050";"RIBEIRAO PRETO";"SP";"Brasil";-;-;"https://www.cocreuni.com.br";
28435685;"COOPERATIVA DE CRÉDITO DE CAPITAL E EMPRÉSTIMO DOS TRABALHADORES NAS EMPRESAS DE TECNOLOGIA E INFORMÁTICA DE BELO HORIZONTE E CIDADES LIMÍTROFES LTDA - COOPERINFOR";"RUA OURO PRETO  1668";"6  ANDAR";"SANTO AGOSTINHO";"30170048";"BELO HORIZONTE";"MG";"Brasil";-;-;-;
4247370;"COOPERATIVA DE CRÉDITO DE EMPRESÁRIOS - SICOOB/TRANSCREDI";"RUA DO COMERCIO  207";-;"CENTRO";"89700085";"CONCORDIA";"SC";"Brasil";-;-;-;
8844074;"COOPERATIVA DE CRÉDITO DE ITAPETININGA - SICOOB CRED-ACI";"RUA MAJOR FONSECA  75";"SALA 01";"CENTRO";"18200022";"ITAPETININGA";"SP";"Brasil";-;-;-;
19875244;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB COPESITA";"RUA VINTE DE NOVEMBRO";"N  110";"CENTRO";"35180020";"TIMOTEO";"MG";"Brasil";-;-;"https://www.sicoobcopesita.com.br";
5247312;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO BURITIS - SICOOB BURITIS";"RUA OTAVIO PITALUGA  N   2074";-;"CENTRO";"78700130";"RONDONOPOLIS";"MT";"Brasil";-;-;-;
37395399;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.";"AVENIDA T 8  N  109";-;"SETOR MARISTA";"74150060";"GOIANIA";"GO";"Brasil";-;-;"https://www.unisicoob.com.br/unicentrobr/";
7502031;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO OESTE LTDA.";"AVENIDA GOIÁS, N. 329";-;"CENTRO";"76380100";"GOIANESIA";"GO";"Brasil";-;-;"https://www.sicoobemprecred.com.br";
952415;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDFAZ LTDA. - SICOOB CREDFAZ";"SCS  QUADRA 06  BLOCO A  N  172  LOJAS 187 E 197";"EDIFICIO JESSE FREIRE";"ASA SUL";"70306908";"BRASILIA";"DF";"Brasil";-;-;"https://www.credfaz.org.br";
2338666;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDIEMBRAPA LTDA - SICOOB.";"SRTV QUADRA 701 CONJUNTO E";"BLOCO 2/4 ED PALACIO DO RADIO II SALA 202 -ASA SUL";"ASA SUL";"70340902";"BRASILIA";"DF";"Brasil";-;-;"https://www.crediembrapa.com.br";
10209619;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA GRANDE GOIÂNIA LTDA.";"RUA 1126 N  505 LOJA 03  QUADRA 230";-;"SETOR MARISTA";"74175130";"GOIANIA";"GO";"Brasil";-;-;"https://www.sicoobcrediadag.com.br";
14046512;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA MARGEM ESQUERDA DO URUCUIA E SÃO FRANCISCO LTDA - SICOOB CREDICHAPADA";"AV  GETULIO VARGAS  330";-;"CENTRO";"39314000";"CHAPADA GAUCHA";"MG";"Brasil";-;-;-;
11907520;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA PARAÍBA - SICOOB PARAÍBA";"RUA PRESIDENTE EPITACIO PESSOA  221";"LOJA B";"CENTRO";"58400025";"CAMPINA GRANDE";"PB";"Brasil";-;-;-;
2144899;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL DE RONDÔNIA   SICOOB OUROCREDI";"AVENIDA XV DE NOVEMBRO  140";-;"JARDIM TROPICAL";"76920000";"OURO PRETO DO OESTE";"RO";"Brasil";-;-;"https://www.sicoobourocredi.combr";
1736516;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL E OESTE MINEIRO LTDA. - SICOOB DIVICRED";"RUA RINALDO MARTINS BRAGA  201";-;"JARDIM BRASILIA";"35502059";"DIVINOPOLIS";"MG";"Brasil";-;-;-;
25387713;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL";"R  BENEDITO VALADARES";"535";"CENTRO";"35660630";"PARA DE MINAS";"MG";"Brasil";-;-;-;
71419600;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE FRUTAL LTDA.   SICOOB FRUTAL";"PRACA DA MATRIZ";"80";"CENTRO";"38200088";"FRUTAL";"MG";"Brasil";-;-;"https://www.sicoobfrutal.com.br";
1699652;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUAXUPÉ LTDA. - SICOOB ACICREDI";"AVENIDA CONDE RIBEIRO DO VALLE  51";-;"CENTRO";"37800000";"GUAXUPE";"MG";"Brasil";-;-;"https://www.acicredi.com.br";
1657678;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE SÃO SEBASTIÃO DO PARAÍSO LTDA. - SICOOB PARAÍSOCRED";"RUA PIMENTA DE PADUA 1438";-;"CENTRO";"37950000";"SAO SEBASTIAO DO PARAISO";"MG";"Brasil";-;-;"https://paraisocred.com.br/";
71261184;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CAPARAÓ LTDA. - SICOOB SAÚDE";"R CORONEL ANTONIO DA SILVA";"210";"CENTRO";"35300032";"CARATINGA";"MG";"Brasil";-;-;-;
2232383;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO CIRCUITO CAMPOS DAS VERTENTES LTDA - SICOOB COPERMEC";"AVENIDA PRESIDENTE TANCREDO NEVES 223";"PREDIO";"CENTRO";"35530000";"CLAUDIO";"MG";"Brasil";-;-;-;
5158093;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO LESTE DA BACIA DO RIO DOCE LTDA   SICOOB CREDILESTE";"AV OLEGARIO MACIEL  110";-;"CENTRO";"35300365";"CARATINGA";"MG";"Brasil";-;-;"https://www.sicoob.com.br/web/sicoobcredileste";
7599206;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA.";"AV D, 314";"QD E 10 LT 51";"SETOR OESTE";"74140160";"GOIANIA";"GO";"Brasil";-;-;"https://www.secovicred.com.br";
26191078;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO SUL DO MARANHÃO - SICREDI SUL DO MARANHÃO";"AVENIDA DORGIVAL PINHEIRO DE SOUSA 900";-;"CENTRO";"65903270";"IMPERATRIZ";"MA";"Brasil";-;-;-;
1060307;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA. - SICOOB UNIÃO DOS VALES";"PC DR  DURVAL GROSSI  35";-;"CENTRO";"35350000";"RAUL SOARES";"MG";"Brasil";-;-;-;
2335109;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA LTDA   SICOOB COOPEMATA";"RUA DOUTOR ANTONIO CARLOS SOBRAL  162";-;"CENTRO";"36770044";"CATAGUASES";"MG";"Brasil";-;-;"https://www.sicoobcoopemata.com.br";
1739375;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE  LAGOA DA PRATA E REGIÃO LTDA.   SICOOB LAGOACRED GERAIS";"AVENIDA BENEDITO VALADARES 800";-;"CENTRO";"35590000";"LAGOA DA PRATA";"MG";"Brasil";-;-;"https://www.lagoacred.com.br";
33615055;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ANÁPOLIS E REGIÃO LTDA";"AV PRESIDENTE JOSE SARNEY   N  36";"QUADRA 27 LOTE 36";"SETOR JAMIL MIGUEL";"75124820";"ANAPOLIS";"GO";"Brasil";-;-;-;
71230338;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ARCOS LTDA. - SICOOB ARCOMCREDI";"AVENIDA MAGALHAES PINTO  233";-;"CENTRO";"35588000";"ARCOS";"MG";"Brasil";-;-;"https://www.arcomcredi.com.br";
694389;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CREDICARU SC/RS";"RUA ANACLETO DA SILVA ORTIZ  282";-;"CENTRO";"88570000";"SAO JOSE DO CERRITO";"SC";"Brasil";-;-;-;
73326449;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CRUZ ALTA";"RUA GENERAL CAMARA,701";"SALA";"CENTRO";"98025780";"CRUZ ALTA";"RS";"Brasil";-;-;-;
78858107;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE -  SICOOB - CREDIAL SC/RS";"RUA ESPIRITO SANTO 753";-;"CENTRO";"89890000";"CUNHA PORA";"SC";"Brasil";-;-;-;
2254376;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE DORES DO INDAIÁ LTDA - COOPCREDI";"AV  FRANCISCO CAMPOS 707";-;"CENTRO";"35610000";"DORES DO INDAIA";"MG";"Brasil";-;-;-;
12384953;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JARAGUÁ DO SUL E REGIÃO - SICOOB CEJASCRED";"RUA CORONEL PROCOPIO GOMES DE OLIVEIRA  430";"SALA 04";"CENTRO";"89251200";"JARAGUA DO SUL";"SC";"Brasil";-;-;-;
78840071;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB CREDIAUC";"RUA DR  MARURI  1242";-;"CENTRO";"89700168";"CONCORDIA";"SC";"Brasil";-;-;-;
80959638;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO MEIO OESTE CATARINENSE - SICOOB CREDIMOC SC";"AVENIDA  BRASIL  N  171";-;"CENTRO";"89820000";"XANXERE";"SC";"Brasil";-;-;"https://www.sicoob.com.br";
1389651;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO CATARINENSE SICOOB CREDIPLANALTO SC/RS";"RUA NEREU RAMOS  N  2 549";-;"CENTRO";"89370000";"PAPANDUVA";"SC";"Brasil";-;-;-;
1692448;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO SERRANO - SICOOB CREDISERRA SC";"AVENIDA MANOEL PEREIRA DE MEDEIROS N  289";-;"CENTRO";"88625000";"URUPEMA";"SC";"Brasil";-;-;-;
10143743;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO BRASIL - CREVISC";"RUA ANTONIO ZIMMERMANN, N- 214";"1- ANDAR";"CENTRO";"89270000";"GUARAMIRIM";"SC";"Brasil";-;-;"https://www.crevisc.coop.br";
78834975;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO CANOINHAS - SICOOB CREDICANOINHAS/SC";"RUA ALVARO SOARES MACHADO  455";-;"TRICOLIN";"89462250";"CANOINHAS";"SC";"Brasil";-;-;-;
81016131;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO VINHO - SICOOB VALE DO VINHO";"AV  DOM PEDRO II  692";-;"CENTRO";"89560208";"VIDEIRA";"SC";"Brasil";-;-;-;
78483310;"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC/RS";"RUA DO COMERCIO  248";-;"CENTRO";"89896000";"ITAPIRANGA";"SC";"Brasil";-;-;-;
